Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
-729*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,5377/8960,wjm1o2,wjm1o2,wjm1o2,dwjm1o2,dwjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,163413/640640,wjm1o6,wjm1o2,wjm1o2,dwjm1o2,dwjm1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,-2565/23296,wjp1o6,wjm1o2,wjm1o2,dwjm1o2,dwjm1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,45223/1921920,wjp1o2,wjm1o2,wjm1o2,dwjm1o2,dwjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,163413/640640,wjm1o2,wjm1o6,wjm1o2,dwjm1o2,dwjm1o2
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,6345/23296,wjm1o6,wjm1o6,wjm1o2,dwjm1o2,dwjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,-33507/320320,wjp1o6,wjm1o6,wjm1o2,dwjm1o2,dwjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,867/40040,wjp1o2,wjm1o6,wjm1o2,dwjm1o2,dwjm1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,-2565/23296,wjm1o2,wjp1o6,wjm1o2,dwjm1o2,dwjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,-33507/320320,wjm1o6,wjp1o6,wjm1o2,dwjm1o2,dwjm1o2
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,4833/116480,wjp1o6,wjp1o6,wjm1o2,dwjm1o2,dwjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,-2703/320320,wjp1o2,wjp1o6,wjm1o2,dwjm1o2,dwjm1o2
