Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1,P Term 2
-729*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**3/4096,-1,1,17/160,wjm1o2,wjm1o2,wjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)/4096,-1,1,9/140,wjm1o6,wjm1o2,wjm1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)/4096,-1,1,-27/1120,wjp1o6,wjm1o2,wjm1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)/4096,-1,1,1/168,wjp1o2,wjm1o2,wjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)/4096,-1,1,9/140,wjm1o2,wjm1o6,wjm1o2
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2/4096,-1,1,27/280,wjm1o6,wjm1o6,wjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2/4096,-1,1,-27/560,wjp1o6,wjm1o6,wjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2/4096,-1,1,3/560,wjp1o2,wjm1o6,wjm1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)/4096,-1,1,-27/1120,wjm1o2,wjp1o6,wjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2/4096,-1,1,-27/560,wjm1o6,wjp1o6,wjm1o2
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2/4096,-1,1,27/1120,wjp1o6,wjp1o6,wjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2/4096,-1,1,3/560,wjp1o2,wjp1o6,wjm1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)/4096,-1,1,1/168,wjm1o2,wjp1o2,wjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2/4096,-1,1,3/560,wjm1o6,wjp1o2,wjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2/4096,-1,1,3/560,wjp1o6,wjp1o2,wjm1o2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2/4096,-1,1,1/168,wjp1o2,wjp1o2,wjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)/4096,-1,1,9/140,wjm1o2,wjm1o2,wjm1o6
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2/4096,-1,1,27/280,wjm1o6,wjm1o2,wjm1o6
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2/4096,-1,1,-27/560,wjp1o6,wjm1o2,wjm1o6
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2/4096,-1,1,3/560,wjp1o2,wjm1o2,wjm1o6
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2/4096,-1,1,27/280,wjm1o2,wjm1o6,wjm1o6
19683*(x - 1)**3*(x - 1/3)**3*(x + 1)**3/4096,-1,1,729/1120,wjm1o6,wjm1o6,wjm1o6
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3/4096,-1,1,0,wjp1o6,wjm1o6,wjm1o6
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3/4096,-1,1,27/1120,wjp1o2,wjm1o6,wjm1o6
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2/4096,-1,1,-27/560,wjm1o2,wjp1o6,wjm1o6
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3/4096,-1,1,0,wjm1o6,wjp1o6,wjm1o6
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3/4096,-1,1,0,wjp1o6,wjp1o6,wjm1o6
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/560,wjp1o2,wjp1o6,wjm1o6
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2/4096,-1,1,3/560,wjm1o2,wjp1o2,wjm1o6
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3/4096,-1,1,27/1120,wjm1o6,wjp1o2,wjm1o6
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/560,wjp1o6,wjp1o2,wjm1o6
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/1120,wjp1o2,wjp1o2,wjm1o6
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)/4096,-1,1,-27/1120,wjm1o2,wjm1o2,wjp1o6
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2/4096,-1,1,-27/560,wjm1o6,wjm1o2,wjp1o6
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2/4096,-1,1,27/1120,wjp1o6,wjm1o2,wjp1o6
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2/4096,-1,1,3/560,wjp1o2,wjm1o2,wjp1o6
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2/4096,-1,1,-27/560,wjm1o2,wjm1o6,wjp1o6
-19683*(x - 1)**3*(x - 1/3)**2*(x + 1/3)*(x + 1)**3/4096,-1,1,0,wjm1o6,wjm1o6,wjp1o6
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3/4096,-1,1,0,wjp1o6,wjm1o6,wjp1o6
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/560,wjp1o2,wjm1o6,wjp1o6
-6561*(x - 1)**3*(x - 1/3)*(x + 1/3)**3*(x + 1)**2/4096,-1,1,27/1120,wjm1o2,wjp1o6,wjp1o6
19683*(x - 1)**3*(x - 1/3)*(x + 1/3)**2*(x + 1)**3/4096,-1,1,0,wjm1o6,wjp1o6,wjp1o6
-19683*(x - 1)**3*(x + 1/3)**3*(x + 1)**3/4096,-1,1,729/1120,wjp1o6,wjp1o6,wjp1o6
6561*(x - 1)**2*(x - 1/3)*(x + 1/3)**3*(x + 1)**3/4096,-1,1,27/280,wjp1o2,wjp1o6,wjp1o6
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2/4096,-1,1,3/560,wjm1o2,wjp1o2,wjp1o6
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/560,wjm1o6,wjp1o2,wjp1o6
6561*(x - 1)**2*(x - 1/3)*(x + 1/3)**3*(x + 1)**3/4096,-1,1,27/280,wjp1o6,wjp1o2,wjp1o6
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3/4096,-1,1,9/140,wjp1o2,wjp1o2,wjp1o6
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)/4096,-1,1,1/168,wjm1o2,wjm1o2,wjp1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2/4096,-1,1,3/560,wjm1o6,wjm1o2,wjp1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2/4096,-1,1,3/560,wjp1o6,wjm1o2,wjp1o2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2/4096,-1,1,1/168,wjp1o2,wjm1o2,wjp1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2/4096,-1,1,3/560,wjm1o2,wjm1o6,wjp1o2
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3/4096,-1,1,27/1120,wjm1o6,wjm1o6,wjp1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/560,wjp1o6,wjm1o6,wjp1o2
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/1120,wjp1o2,wjm1o6,wjp1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2/4096,-1,1,3/560,wjm1o2,wjp1o6,wjp1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/560,wjm1o6,wjp1o6,wjp1o2
6561*(x - 1)**2*(x - 1/3)*(x + 1/3)**3*(x + 1)**3/4096,-1,1,27/280,wjp1o6,wjp1o6,wjp1o2
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3/4096,-1,1,9/140,wjp1o2,wjp1o6,wjp1o2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2/4096,-1,1,1/168,wjm1o2,wjp1o2,wjp1o2
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3/4096,-1,1,-27/1120,wjm1o6,wjp1o2,wjp1o2
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3/4096,-1,1,9/140,wjp1o6,wjp1o2,wjp1o2
729*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**3/4096,-1,1,17/160,wjp1o2,wjp1o2,wjp1o2
